paper_id,title,year,architecture,organs,dataset_quality,methodology_quality,evaluation_quality,total_score,quality_rating,main_contribution
10.1002_mp.12480,Deep learning of the sectional appearances of 3D CT images for anatomical structure segmentation based on an FCN voting method,2017,2D FCN (VGG16-based) + 3D multi-view majority voting (3D-2D-3D),"Right lung, Left lung, Heart, Aorta, Esophagus, Liver, Gallbladder, Stomach and duodenum (2nd position/region), Stomach and duodenum lumen, Contents inside stomach and duodenum, Spleen, Right kidney, Left kidney, Inferior vena cava, Portal vein / splenic vein / superior mesenteric vein region, Pancreas, Bladder, Prostate, Uterus",8,6,9,23,Medium,Introduces a practical multi-organ CT segmentation pipeline that uses a single 2D FCN applied to orthogonal slices and fuses predictions into a 3D segmentation via voxel-wise majority voting.
10.1002_mp.13300,AnatomyNet: Deep learning for fast and fully automated whole-volume segmentation of head and neck anatomy,2019,AnatomyNet (modified 3D U-Net with 3D SE-residual blocks),"brain stem, optic chiasm, mandible, optic nerve (left), optic nerve (right), parotid gland (left), parotid gland (right), submandibular gland (left), submandibular gland (right)",8,7,9,24,High,"Proposes AnatomyNet, an end-to-end whole-volume 3D CNN for fast multi-OAR head-and-neck CT segmentation that improves MICCAI 2015 benchmark Dice while running in ~0.12 s/volume."
10.1002_mp.13438,U-Net based deep learning bladder segmentation in CT urography,2019,Modified 2D U-Net and modified 3D U-Net (U-DL),bladder,8,7,7,22,Medium,"Introduces and validates a U-Net-based bladder segmentation approach for CT urography that removes the need for a user-defined bounding box and level-set refinement, improving accuracy over prior DCNN-LS and classical level-set baselines on an independent test set."
10.1002_mp.13950,Automatic multi-organ segmentation in dual-energy CT (DECT) with dedicated 3D fully convolutional DECT networks,2020,"Dedicated 3D U-Net-based FCNs for DECT fusion (LC-net, MC-net, MI-net, Late fusion) with optional residual blocks","right lung, left lung, liver, spleen, right kidney, left kidney",6,8,8,20,Medium,"Introduces and systematically evaluates four dedicated 3D CNN fusion strategies to exploit dual-energy CT information for automatic multi-organ segmentation, showing consistent gains over single-energy baselines."
10.1002_mp.14386,CT-based multi-organ segmentation using a 3D self-attention U-net network for pancreatic radiotherapy,2020,3D Deep Attention U-Net (U-Net + attention gates + deep supervision),"large bowel, small bowel, duodenum, left kidney, right kidney, liver, spinal cord, stomach",8,8,9,25,High,"Introduces and validates a 3D attention-gated, deeply supervised U-Net with a compound Dice+cross-entropy loss for fast, simultaneous segmentation of eight abdominal OARs on pancreatic radiotherapy CT simulation scans."
10.1002_mp.14422,Complete Abdomen and Pelvis Segmentation using U-Net Variant Architecture,,3D U-Net (variant with residual context modules),"liver, kidneys (left/right), spleen, pancreas, adrenal glands (left/right), renal arteries (left/right), renal veins (left/right), aorta, inferior vena cava, bladder, uterus, prostate, stomach, small bowel, large bowel/colon, gallbladder, diaphragm, spinal column, intervertebral discs (T12/S1 range; multiple disc labels), bone, muscle, subcutaneous adipose tissue (SAT), visceral adipose tissue (VAT), other soft tissue/connective tissue & small vessels/ureters (lumped label), background (model output; not reported in results)",7,6,9,22,Medium,"Introduces and evaluates an end-to-end 3D U-Net variant that performs dense whole abdomen/pelvis CT segmentation into 33 structures, with performance contextualized against human interobserver variability and prior multi-organ methods."
10.1002_mp.15507,"General and custom deep learning autosegmentation models for organs in head and neck, abdomen, and male pelvis",2022,Modified ResUnet3D (3D U-Net with residual blocks),"Male pelvis: Bladder, Prostate, Rectum, SeminalVes, PenileBulb, Sigmoid, Femure_L, Femure_R, Pelvis_L, Pelvis_R, Patient external, Head & neck: Brain, Brainstem, Bone_Mandible, Esophagus, Eye_L, Eye_R, InnerEar_L, InnerEar_R, Larynx, Lens_L, Lens_R, OpticNerve_L, OpticNerve_R, Parotid_L, Parotid_R, Glnd_Submand_L, Glnd_Submand_R, SpinalCord, Patient external, Abdomen: A_Aorta, Bowel_Large, Bowel_Small, Duodenum, Kidney_L, Kidney_R, Liver, Pancreas, SpinalCord, Spleen, Stomach, Patient external",8,6,9,23,Medium,"Develops and clinically evaluates multi-site 3D deep-learning CT autosegmentation models (head & neck, abdomen, male pelvis) with organ-specific strategies (ASR, PSE) and compares general multi-institutional vs custom single-institution training."
10.1007_978-3-030-00937-3_49,3D U-JAPA-Net: Mixture of Convolutional Networks for Abdominal Multi-organ CT Segmentation,2018,3D U-JAPA-Net (3D U-Net + probabilistic atlas + mixture of experts with transfer learning),"liver, spleen, right kidney, left kidney, pancreas, gallbladder, aorta, inferior vena cava",3,5,10,17,Medium,"Introduces 3D U-JAPA-Net, a PA-assisted, transfer-learned mixture-of-expert 3D U-Nets that improves abdominal multi-organ CT segmentation over standard 2D/3D U-Net baselines on an in-house dataset."
10.1007_s00330-020-07608-9,Automated segmentation of kidney and renal mass and automated detection of renal mass in CT urography using 3D U-Net-based deep convolutional neural network,2021,3D U-Net (cascaded for kidney; single multi-label for renal mass),"Kidney, Renal tumor, Renal cyst",8,2,9,21,Medium,"Introduces a fully automated CTU corticomedullary-phase pipeline using cascaded 3D U-Nets for kidney localization/segmentation and a multi-label 3D U-Net for renal tumor/cyst segmentation, with lesion detection derived from segmentation via maximum-VOI thresholding."
10.1016_j.compmedimag.2018.03.001,An application of cascaded 3D fully convolutional networks for medical image segmentation,2018,Cascaded 3D U-Net (3D FCN),"artery, vein, liver, spleen, stomach, gallbladder, pancreas, lungs (transfer learning evaluation), kidneys (transfer learning evaluation), additional 18-class structures in direct comparison dataset (e.g., aorta, esophagus, heart, inferior vena cava, portal vein, prostate, bladder, etc.)",9,9,9,27,High,"Introduces and validates a two-stage cascaded 3D U-Net (3D FCN) coarse-to-fine framework that uses candidate regions to substantially improve multi-organ (including vessels) CT segmentation, with strong external generalization."
