id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet,es_score,es_id
R2407,Semantic Scholar,2026-01-21,Two-Stage Multi-Organ Automatic Segmentation with Low GPU Memory Occupancy,Yi Lv; Junchen Wang,2022,2022 WRC Symposium on Advanced Robotics and Automation (WRC SARA),10.1109/WRCSARA57040.2022.9903976,"Abdominal multi organ segmentation is of great significance in medical diagnosis and research. As the abdominal CT usually has a high resolution and a high image size, automatic segmentation of the abdominal organs demands a high configuration of hardware. In this paper, we proposed a low GPU memory occupied two stage fully supervised automatic segmentation framework for abdomina113 organs: liver, spleen, pancreas, right kidney, left kidney, stomach, gallbladder, esophagus, aorta, inferior vena cava, right adrenal gland, left adrenal gland, and duodenum, and designed a lightweight 3D CNN refer to as Tiny-CED Net. The proposed Tiny-CED Net can accurately complete the automatic segmentation of the whole abdominal CT with the GPU memory occupation <2GB. The results show that the average DSC of our method reached 0.83. The average time consumption and max GPU memory occupied are less than 25s and 2GB.",65.51498,2406
R1932,Semantic Scholar,2026-01-21,Automatic Multi-Organ Segmentation on Abdominal CT With Dense V-Networks,E. Gibson; F. Giganti; Yipeng Hu; E. Bonmati; S. Bandula; K. Gurusamy et al.,2018,IEEE Transactions on Medical Imaging,10.1109/TMI.2018.2806309,"Automatic segmentation of abdominal anatomy on computed tomography (CT) images can support diagnosis, treatment planning, and treatment delivery workflows. Segmentation methods using statistical models and multi-atlas label fusion (MALF) require inter-subject image registrations, which are challenging for abdominal images, but alternative methods without registration have not yet achieved higher accuracy for most abdominal organs. We present a registration-free deep-learning-based segmentation algorithm for eight organs that are relevant for navigation in endoscopic pancreatic and biliary procedures, including the pancreas, the gastrointestinal tract (esophagus, stomach, and duodenum) and surrounding organs (liver, spleen, left kidney, and gallbladder). We directly compared the segmentation accuracy of the proposed method to the existing deep learning and MALF methods in a cross-validation on a multi-centre data set with 90 subjects. The proposed method yielded significantly higher Dice scores for all organs and lower mean absolute distances for most organs, including Dice scores of 0.78 versus 0.71, 0.74, and 0.74 for the pancreas, 0.90 versus 0.85, 0.87, and 0.83 for the stomach, and 0.76 versus 0.68, 0.69, and 0.66 for the esophagus. We conclude that the deep-learning-based segmentation represents a registration-free method for multi-organ abdominal CT segmentation whose accuracy can surpass current methods, potentially supporting image-guided navigation in gastrointestinal endoscopy procedures.",47.799828,1931
R1918,Semantic Scholar,2026-01-21,Applying 3D U-Net Architecture to the Task of Multi-Organ Segmentation in Computed Tomography,Pavlo Radiuk,2020,Applied Computer Systems,10.2478/acss-2020-0005,"Abstract The achievement of high-precision segmentation in medical image analysis has been an active direction of research over the past decade. Significant success in medical imaging tasks has been feasible due to the employment of deep learning methods, including convolutional neural networks (CNNs). Convolutional architectures have been mostly applied to homogeneous medical datasets with separate organs. Nevertheless, the segmentation of volumetric medical images of several organs remains an open question. In this paper, we investigate fully convolutional neural networks (FCNs) and propose a modified 3D U-Net architecture devoted to the processing of computed tomography (CT) volumetric images in the automatic semantic segmentation tasks. To benchmark the architecture, we utilised the differentiable Sørensen-Dice similarity coefficient (SDSC) as a validation metric and optimised it on the training data by minimising the loss function. Our hand-crafted architecture was trained and tested on the manually compiled dataset of CT scans. The improved 3D UNet architecture achieved the average SDSC score of 84.8 % on testing subset among multiple abdominal organs. We also compared our architecture with recognised state-of-the-art results and demonstrated that 3D U-Net based architectures could achieve competitive performance and efficiency in the multi-organ segmentation task.",46.746525,1917
R0041,PubMed,2026-01-21,Deep CNN-based Fully Automated Segmentation of Pelvic Multi-Organ on CT Images for Prostate Cancer Radiotherapy.,Mofid B; Modarres Mosalla SM; Goodarzi M; Tavakoli H,2025,Journal of biomedical physics & engineering,10.31661/jbpe.v0i0.2307-1649,"Manual delineation of volumes for prostate radiotherapy treatment is a time-consuming task for radiation oncologists and is also prone to variability. Deep learning-based auto-segmentation methods showed promising results with accurate and high-fidelity contours. The objective of this study was to evaluate the feasibility of a Computed Tomography (CT)-based deep learning auto-segmentation algorithm for multi-organ delineation in prostate radiotherapy. In this single-institution retrospective study, a total of 118 patients with prostate cancer were included. We applied 3D nnU-net deep convolutional neural network architecture, a self-adapting ensemble method for simultaneous fast and reproducible multi-organ auto-contouring. The dataset was randomly divided into training and test sets from 95 and 23 patients, respectively. Intensity-modulated radiotherapy plans were generated for both manual and automatic delineations using identical optimization settings. Contours were assessed in terms of the Dice Similarity Coefficient (DSC), and average Hausdorff Distance (HD). Dose distributions were additionally evaluated using parameters derived from Dose-Volume Histograms (DVH). On the test set, 3D nnU-net achieved the best performance in the bladder (DSC:0.97, HD:4.13), right femur head (DSC:0.96, HD:3.58), left femur head (DSC:0.96, HD:3.95), rectum (DSC:0.9, HD:10.04), prostate (DSC:0.82, HD:3.68), lymph nodes (DSC:0.77, HD:15.5), and seminal vesicles (DSC:0.69, HD:10.95). DVH parameters of targets and Organ at Risks (OARs) were significantly different except for lymph nodes and femoral heads between treatment plans based on manual and automatic contours. The 3D nnU-net architecture can be successfully used for multi-organ segmentation in the male pelvic area.",46.682392,40
R1016,arXiv,2026-01-21,A Method of Rapid Quantification of Patient-Specific Organ Dose for CT Using Coupled Deep-Learning based Multi-Organ Segmentation and GPU-accelerated Monte Carlo Dose Computing,Zhao Peng; Xi Fang; Pingkun Yan; Hongming Shan; Tianyu Liu; Xi Pei et al.,2019,arXiv:1908.00360v3,10.1002/mp.14131,"Purpose: This paper describes a new method to apply deep-learning algorithms for automatic segmentation of radiosensitive organs from 3D tomographic CT images before computing organ doses using a GPU-based Monte Carlo code. Methods: A deep convolutional neural network (CNN) for organ segmentation is trained to automatically delineate radiosensitive organs from CT. With a GPU-based Monte Carlo dose engine (ARCHER) to derive CT dose of a phantom made from a subject's CT scan, we are then able to compute the patient-specific CT dose for each of the segmented organs. The developed tool is validated by using Relative Dose Error (RDE) against the organ doses calculated by ARCHER with manual segmentation performed by radiologists. The dose computation results are also compared against organ doses from population-average phantoms to demonstrate the improvement achieved by using the developed tool. In this study, two datasets were used: The Lung CT Segmentation Challenge 2017 (LCTSC) dataset, which contains 60 thoracic CT scan patients each with 5 segmented organs, and the Pancreas-CT (PCT) dataset, which contains 43 abdominal CT scan patients each with 8 segmented organs. Five-fold cross-validation of the new method is performed on both datasets. Results: Comparing with the traditional organ dose evaluation method that based on population-average phantom, our proposed method achieved the smaller RDE range on all organs with -4.3%~1.5% vs -31.5%~33.9% (lung), -7.0%~2.3% vs -15.2%~125.1% (heart), -18.8%~40.2% vs -10.3%~124.1% (esophagus) in the LCTSC dataset and -5.6%~1.6% vs -20.3%~57.4% (spleen), -4.5%~4.6% vs -19.5%~61.0% (pancreas), -2.3%~4.4% vs -37.8%~75.8% (left kidney), -14.9%~5.4% vs -39.9% ~14.6% (gall bladder), -0.9%~1.6% vs -30.1%~72.5% (liver), and -23.0%~11.1% vs -52.5%~-1.3% (stomach) in the PCT dataset.",45.121014,1015
R1050,arXiv,2026-01-21,Deep Learning-based Multi-Organ CT Segmentation with Adversarial Data Augmentation,Shaoyan Pan; Shao-Yuan Lo; Min Huang; Chaoqiong Ma; Jacob Wynne; Tonghe Wang et al.,2023,arXiv:2302.13172v1,http://arxiv.org/abs/2302.13172v1,"In this work, we propose an adversarial attack-based data augmentation method to improve the deep-learning-based segmentation algorithm for the delineation of Organs-At-Risk (OAR) in abdominal Computed Tomography (CT) to facilitate radiation therapy. We introduce Adversarial Feature Attack for Medical Image (AFA-MI) augmentation, which forces the segmentation network to learn out-of-distribution statistics and improve generalization and robustness to noises. AFA-MI augmentation consists of three steps: 1) generate adversarial noises by Fast Gradient Sign Method (FGSM) on the intermediate features of the segmentation network's encoder; 2) inject the generated adversarial noises into the network, intentionally compromising performance; 3) optimize the network with both clean and adversarial features. Experiments are conducted segmenting the heart, left and right kidney, liver, left and right lung, spinal cord, and stomach. We first evaluate the AFA-MI augmentation using nnUnet and TT-Vnet on the test data from a public abdominal dataset and an institutional dataset. In addition, we validate how AFA-MI affects the networks' robustness to the noisy data by evaluating the networks with added Gaussian noises of varying magnitudes to the institutional dataset. Network performance is quantitatively evaluated using Dice Similarity Coefficient (DSC) for volume-based accuracy. Also, Hausdorff Distance (HD) is applied for surface-based accuracy. On the public dataset, nnUnet with AFA-MI achieves DSC = 0.85 and HD = 6.16 millimeters (mm); and TT-Vnet achieves DSC = 0.86 and HD = 5.62 mm. AFA-MI augmentation further improves all contour accuracies up to 0.217 DSC score when tested on images with Gaussian noises. AFA-MI augmentation is therefore demonstrated to improve segmentation performance and robustness in CT multi-organ segmentation.",44.84071,1049
R2188,Semantic Scholar,2026-01-21,A Method of Rapid Quantification of Patient-Specific Organ Dose for CT Using Coupled Deep Multi-Organ Segmentation Algorithms and GPU-accelerated Monte Carlo Dose Computing Code,Zhao Peng; Xi Fang; Pingkun Yan; Hongming Shan; Tianyu Liu; X. Pei et al.,2019,,arXiv:1908.00360,"Purpose: This paper describes a new method to apply deep-learning algorithms for automatic segmentation of radiosensitive organs from 3D tomographic CT images before computing organ doses using a GPU-based Monte Carlo code. Methods: A deep convolutional neural network (CNN) for organ segmentation is trained to automatically delineate radiosensitive organs from CT. With a GPU-based Monte Carlo dose engine (ARCHER) to derive CT dose of a phantom made from a subject's CT scan, we are then able to compute the patient-specific CT dose for each of the segmented organs. The developed tool is validated by using Relative Dose Error (RDE) against the organ doses calculated by ARCHER with manual segmentation performed by radiologists. The dose computation results are also compared against organ doses from population-average phantoms to demonstrate the improvement achieved by using the developed tool. In this study, two datasets were used: The Lung CT Segmentation Challenge 2017 (LCTSC) dataset, which contains 60 thoracic CT scan patients each with 5 segmented organs, and the Pancreas-CT (PCT) dataset, which contains 43 abdominal CT scan patients each with 8 segmented organs. Five-fold cross-validation of the new method is performed on both datasets. Results: Comparing with the traditional organ dose evaluation method that based on population-average phantom, our proposed method achieved the smaller RDE range on all organs with -4.3%~1.5% vs -31.5%~33.9% (lung), -7.0%~2.3% vs -15.2%~125.1% (heart), -18.8%~40.2% vs -10.3%~124.1% (esophagus) in the LCTSC dataset and -5.6%~1.6% vs -20.3%~57.4% (spleen), -4.5%~4.6% vs -19.5%~61.0% (pancreas), -2.3%~4.4% vs -37.8%~75.8% (left kidney), -14.9%~5.4% vs -39.9% ~14.6% (gall bladder), -0.9%~1.6% vs -30.1%~72.5% (liver), and -23.0%~11.1% vs -52.5%~-1.3% (stomach) in the PCT dataset.",44.814964,2187
R2731,Semantic Scholar,2026-01-21,Hierarchical 3D fully convolutional networks for multi-organ segmentation,H. Roth; H. Oda; Y. Hayashi; M. Oda; N. Shimizu; M. Fujiwara et al.,2017,arXiv.org,arXiv:1704.06382,"Recent advances in 3D fully convolutional networks (FCN) have made it feasible to produce dense voxel-wise predictions of full volumetric images. In this work, we show that a multi-class 3D FCN trained on manually labeled CT scans of seven abdominal structures (artery, vein, liver, spleen, stomach, gallbladder, and pancreas) can achieve competitive segmentation results, while avoiding the need for handcrafting features or training organ-specific models. To this end, we propose a two-stage, coarse-to-fine approach that trains an FCN model to roughly delineate the organs of interest in the first stage (seeing $\sim$40% of the voxels within a simple, automatically generated binary mask of the patient's body). We then use these predictions of the first-stage FCN to define a candidate region that will be used to train a second FCN. This step reduces the number of voxels the FCN has to classify to $\sim$10% while maintaining a recall high of $>$99%. This second-stage FCN can now focus on more detailed segmentation of the organs. We respectively utilize training and validation sets consisting of 281 and 50 clinical CT images. Our hierarchical approach provides an improved Dice score of 7.5 percentage points per organ on average in our validation set. We furthermore test our models on a completely unseen data collection acquired at a different hospital that includes 150 CT scans with three anatomical labels (liver, spleen, and pancreas). In such challenging organs as the pancreas, our hierarchical approach improves the mean Dice score from 68.5 to 82.2%, achieving the highest reported average score on this dataset.",43.632496,2730
R1943,Semantic Scholar,2026-01-21,Male pelvic multi-organ segmentation using token-based transformer Vnet,Shaoyan Pan; Y. Lei; Tonghe Wang; J. Wynne; Chih-Wei Chang; J. Roper et al.,2022,Physics in Medicine and Biology,10.1088/1361-6560/ac95f7,"Objective. This work aims to develop an automated segmentation method for the prostate and its surrounding organs-at-risk in pelvic computed tomography to facilitate prostate radiation treatment planning. Approach. In this work, we propose a novel deep learning algorithm combining a U-shaped convolutional neural network (CNN) and vision transformer (VIT) for multi-organ (i.e. bladder, prostate, rectum, left and right femoral heads) segmentation in male pelvic CT images. The U-shaped model consists of three components: a CNN-based encoder for local feature extraction, a token-based VIT for capturing global dependencies from the CNN features, and a CNN-based decoder for predicting the segmentation outcome from the VIT’s output. The novelty of our network is a token-based multi-head self-attention mechanism used in the transformer, which encourages long-range dependencies and forwards informative high-resolution feature maps from the encoder to the decoder. In addition, a knowledge distillation strategy is deployed to further enhance the learning capability of the proposed network. Main results. We evaluated the network using: (1) a dataset collected from 94 patients with prostate cancer; (2) and a public dataset CT-ORG. A quantitative evaluation of the proposed network’s performance was performed on each organ based on (1) volume similarity between the segmented contours and ground truth using Dice score, segmentation sensitivity, and precision, (2) surface similarity evaluated by Hausdorff distance (HD), mean surface distance (MSD) and residual mean square distance (RMS), (3) and percentage volume difference (PVD). The performance was then compared against other state-of-art methods. Average volume similarity measures obtained by the network overall organs were Dice score = 0.91, sensitivity = 0.90, precision = 0.92, average surface similarities were HD = 3.78 mm, MSD = 1.24 mm, RMS = 2.03 mm; average percentage volume difference was PVD = 9.9% on the first dataset. The network also obtained Dice score = 0.93, sensitivity = 0.93, precision = 0.93, average surface similarities were HD = 5.82 mm, MSD = 1.16 mm, RMS = 1.24 mm; average percentage volume difference was PVD = 6.6% on the CT-ORG dataset. Significance. In summary, we propose a token-based transformer network with knowledge distillation for multi-organ segmentation using CT images. This method provides accurate and reliable segmentation results for each organ using CT imaging, facilitating the prostate radiation clinical workflow.",43.50804,1942
R1971,Semantic Scholar,2026-01-21,Segmentation of Organs at Risk in Chest Cavity Using 3D Deep Neural Network,Maksym Manko,2019,2019 Signal Processing Symposium (SPSympo),10.1109/SPS.2019.8882073,"Cancer ranks second in the world in terms of morbidity and mortality. Radiotherapy is one of standard treatment procedures in case of cancer. In lung and esophageal cancer, the irradiation planning begins with the delineation of the target tumor and healthy organs. In this paper we propose solving Organs at Risk (OAR) segmentation task with deep learning approach. Proposed network is based on U-Net-like architecture with ResNet-50 backbone. Multi-resolution approach is used for localization of volumes of interest (VOIs) for each individual organ at inference stage. Generalized Dice Loss is used for neural network weights optimization. Experiments demonstrate competitive performance on a dataset of 60 computed tomography (CT) scans (40 CT scans are used for network training, 20 CT scans - for evaluation). The following metric scores were obtained on the test split: dice score - 0.77 (esophagus), 0.933 (heart), 0.913 (trachea), 0.908 (aorta); Hausdorff distance - 0.605 (esophagus), 0.225 (heart), 0.223 (trachea), 0.326 (aorta).",42.892597,1970
