study_id,record_id,doi,pmid,title,first_author,year,journal,study_type,organ_focus,modality,architecture_type,key_contribution,dice_reported,hd95_reported,dataset_used,code_available,inclusion_criteria_met
S001,1,10.1038/s41592-020-01008-z,33288961,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,Isensee F,2021,Nature Methods,method,multi-organ,CT/MRI,CNN,Self-configuring architecture,0.89,4.2,MSD,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S002,2,10.1148/ryai.230024,37795140,TotalSegmentator: Robust Segmentation of 104 Anatomic Structures in CT Images,Wasserthal J,2023,Radiology AI,method,multi-organ (104),CT,CNN,Large-scale multi-organ,0.943,1.81,TotalSeg-1204,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S003,3,10.1007/978-3-319-24574-4_28,,U-Net: Convolutional Networks for Biomedical Image Segmentation,Ronneberger O,2015,MICCAI,method,general,microscopy,CNN,Encoder-decoder with skip connections,0.92,,ISBI Cell,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S004,4,10.1007/978-3-319-46723-8_49,,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,Çiçek Ö,2016,MICCAI,method,general,CT/MRI,CNN,3D extension of U-Net,0.863,,Xenopus kidney,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S005,5,10.1109/3DV.2016.79,,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,Milletari F,2016,3DV,method,prostate,MRI,CNN,Dice loss formulation,0.869,,PROMISE12,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S006,6,10.1109/WACV51458.2022.00181,,UNETR: Transformers for 3D Medical Image Segmentation,Hatamizadeh A,2022,WACV,method,multi-organ,CT/MRI,Transformer,Pure transformer encoder,0.867,7.23,BTCV,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S007,7,10.1007/978-3-031-08999-2_22,,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors,Hatamizadeh A,2022,BrainLes,method,brain tumor,MRI,Transformer,Swin transformer encoder,0.912,4.01,BraTS21,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S008,8,10.1038/s41467-024-44824-z,38307852,Segment Anything in Medical Images,Ma J,2024,Nature Communications,method,universal,CT/MRI/US,Foundation,Foundation model adaptation,0.857,8.12,SA-Med2D-16M,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S009,9,10.1016/j.media.2024.103280,38901170,TransUNet: Rethinking the U-Net architecture design,Chen J,2024,Medical Image Analysis,method,multi-organ,CT,Hybrid,CNN-Transformer hybrid,0.877,6.95,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S010,10,10.1007/978-3-030-87199-4_16,,CoTr: Efficiently Bridging CNN and Transformer,Xie Y,2021,MICCAI,method,multi-organ,CT,Hybrid,Deformable transformer,0.871,8.4,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S011,11,10.1007/978-3-030-00889-5_1,,UNet++: A Nested U-Net Architecture,Zhou Z,2018,DLMIA,method,general,CT/MRI,CNN,Dense nested skip paths,0.86,,Liver/Lung nodule,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S012,12,10.1804/03999,,Attention U-Net: Learning Where to Look for the Pancreas,Oktay O,2018,MIDL,method,pancreas,CT,CNN,Attention gates,0.84,4.74,CT-150,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S013,13,10.1109/ICASSP40776.2020.9053405,,UNet 3+: A Full-Scale Connected UNet,Huang H,2020,ICASSP,method,liver,CT,CNN,Full-scale skip connections,0.873,4.01,LiTS,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S014,14,10.1016/j.media.2016.10.004,27865153,Efficient multi-scale 3D CNN with fully connected CRF,Kamnitsas K,2017,Medical Image Analysis,method,brain lesion,MRI,CNN,Multi-scale 3D CNN,0.898,,BRATS15,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S015,15,10.1109/TMI.2018.2806309,29470117,Automatic Multi-Organ Segmentation with Dense V-Networks,Gibson E,2018,IEEE TMI,method,multi-organ (8),CT,CNN,Dense feature stacking,0.907,4.57,Internal-90,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S016,16,10.1007/978-3-031-43901-8_39,,MedNeXt: Transformer-driven Scaling of ConvNets,Roy S,2023,MICCAI,method,multi-organ,CT/MRI,CNN,ConvNeXt for medical,0.895,3.87,MSD,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S017,17,10.1038/s41467-022-30695-9,35764621,The Medical Segmentation Decathlon,Antonelli M,2022,Nature Communications,benchmark,multi-organ (10),CT/MRI,N/A,Multi-task benchmark,N/A,N/A,MSD,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S018,18,10.1016/j.media.2020.101821,33137593,KiTS19: Kidney tumor segmentation challenge,Heller N,2021,Medical Image Analysis,benchmark,kidney,CT,N/A,Kidney tumor benchmark,N/A,N/A,KiTS19,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S019,19,10.1016/j.media.2022.102680,36423532,The Liver Tumor Segmentation Benchmark (LiTS),Bilic P,2022,Medical Image Analysis,benchmark,liver,CT,N/A,Liver tumor benchmark,N/A,N/A,LiTS,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S020,20,10.1016/j.media.2017.07.005,28778026,A survey on deep learning in medical image analysis,Litjens G,2017,Medical Image Analysis,review,general,multi,N/A,Comprehensive DL review,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S021,21,10.1016/j.media.2020.101693,32417716,Embracing imperfect datasets: A review,Tajbakhsh N,2020,Medical Image Analysis,review,general,multi,N/A,Imperfect data solutions,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
S022,22,10.1016/j.media.2023.102802,36921457,Transformers in medical imaging: A survey,Shamshad F,2023,Medical Image Analysis,review,general,multi,N/A,Transformer survey,N/A,N/A,N/A,N/A,"IC1,IC2,IC3,IC4,IC5,IC6"
