id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet
R0001,PubMed,2026-01-20,Deep-learning pipeline for automated skeletal muscle segmentation and sarcopenia detection.,Gupta P; Dutta N; Sinha SK; Singh H; Irrinki S et al.,2026,Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,10.1007/s12664-025-01925-x,"Sarcopenia, characterized by progressive skeletal muscle loss, is associated with poor outcomes in various diseases. Traditional methods for assessing muscle cross-sectional area using computed tomography (CT) scans are manual, time-consuming and prone to variability. This study comprehensively vali..."
R0002,PubMed,2026-01-20,From CNNs to SAM: A Survey of Deep Learning Techniques for Liver Tumor Segmentation in CT Images.,Abdoli N; Sadri Y; Gilley P; Zhang KE; Chen Y et al.,2025,"IEEE access : practical innovations, open solutions",10.1109/access.2025.3631322,"Accurate liver tumor segmentation is a critical component of clinical assessment, forming the basis for treatment planning, therapy response monitoring, prognostic assessment, and the delivery of precision medicine. However, in real-world clinical practice, this task remains particularly challenging..."
R0003,PubMed,2026-01-20,"Comment on ""Deep learning in CT-based organ-at-risk delineation for pediatric flank irradiation"": Methodological and clinical considerations.",Saad A; Darooj R; Ismail A,2026,Clinical and translational radiation oncology,10.1016/j.ctro.2025.101065,"The study by Ding et al. on deep-learning-assisted organ-at-risk delineation for pediatric flank irradiation offers a valuable advancement toward automation in radiotherapy planning. However, several methodological and analytical gaps limit the confidence with which these findings can be generalized..."
R0004,PubMed,2026-01-20,A MultiRater MultiOrgan Abdominal CT Dataset for Calibration Analysis and Uncertainty Modeling in Segmentation.,Riera-Marin M; Kleiss JM; Aubanell A; Antolin A; Moreno-Vedia J et al.,2026,Scientific data,10.1038/s41597-025-06473-9,"In medical imaging, deep learning (DL) models often struggle to delineate ambiguous structures such as tumors or organ boundaries, leading to uncertainty in defining precise contours. This challenge is amplified by inter-rater variability, where experts may disagree on boundary delineations, resulti..."
R0005,PubMed,2026-01-20,Liver cancer segmentator: Metadata-guided confidence scoring for reliable segmentation of colorectal liver metastases in CT.,Hamghalam M; Peoples JJ; Kobayashi KSM; Park G; Kwak E et al.,2026,Computer methods and programs in biomedicine,10.1016/j.cmpb.2026.109233,"This study introduces the liver cancer segmentator (LCS), a deep learning model designed for automatic and robust segmentation of liver parenchyma and tumors in abdominal contrast-enhanced computed tomography images from patients with colorectal liver metastases. The primary aim was to enhance confi..."
R0006,PubMed,2026-01-20,Attention-driven framework to segment renal ablation zone in posttreatment CT images: a step toward ablation margin evaluation.,Rastegarpoor M; Cool DW; Fenster A,2026,"Journal of medical imaging (Bellingham, Wash.)",10.1117/1.JMI.13.1.014001,Thermal ablation is a minimally invasive therapy used for the treatment of small renal cell carcinoma tumors. Treatment success is evaluated on postablation computed tomography (CT) to determine if the ablation zone covered the tumor with an adequate treatment margin (often 5 to 10 mm). Incorrect ma...
R0007,PubMed,2026-01-20,Estimation of whole-body skeletal muscle volume using pectoralis muscle area and anthropometric measurements from chest CT in a Korean population.,Baek K; Yoon SH; Hong JH,2026,Clinical physiology and functional imaging,10.1111/cpf.70046,"Skeletal muscle is a critical organ influencing prognosis and overall health; however, the direct measurements of muscle mass are not easily attainable. This study aimed to estimate whole-body skeletal muscle volume (WBM) using pectoralis muscle area (PMA) derived from a single chest-CT slice and ba..."
R0008,PubMed,2026-01-20,Reply to comment on impact of deep learning on CT-based organ-at-risk delineation for flank irradiation in paediatric renal tumours: A SIOP-RTSG radiotherapy committee.,Ding M; Maspero M; Harrabi S; Jouglar E; Vennarini S et al.,2026,Clinical and translational radiation oncology,10.1016/j.ctro.2025.101087,"We appreciate the commentary from Saad et al., which offers an opportunity to clarify key methodological and clinical aspects of our study assessing the impact of deep learning-based CT auto-contouring for organ-at-risk delineation in paediatric flank irradiation for renal tumours. First, the annota..."
R0009,PubMed,2026-01-20,Machine learning in stroke and its sequelae: a narrative review of clinical applications and emerging trends.,Liu H; Meng T; Qie R,2026,International journal of medical informatics,10.1016/j.ijmedinf.2025.106245,"This narrative review synthesizes machine learning (ML) applications across the stroke and post-stroke continuum from acute imaging and diagnosis to long-term sequelae prognosis and rehabilitation. We searched PubMed, Embase, and WOS from inception to October 17, 2025, for a comprehensive review. We..."
R0010,PubMed,2026-01-20,Subject-specific modeling framework for particle deposition using computational fluid dynamics.,Bartol IR; Graffigna Palomba MS; Dawson RJ; Bolch WE; Tano ME et al.,2025,Journal of aerosol science,10.1016/j.jaerosci.2025.106660,"Quantifying particle deposition and dose in the respiratory tract requires a physiologically realistic representation and reproducible computational workflows. However, existing modeling frameworks, such as the International Commission on Radiological Protection (ICRP) compartmental models and the M..."
R0011,PubMed,2026-01-20,Mixed U-Net: Segmentation of focal liver lesions using a hybrid 2D and 3D model.,Gao F; Hu Z; Xian J; Lu W,2026,Journal of applied clinical medical physics,10.1002/acm2.70408,"Accurate segmentation of liver tumors on contrast-enhanced CT is essential for clinical decision-making, but remains challenging due to irregular tumor boundaries and the difficulty of distinguishing lesions from blood vessels and bile ducts. Although 3D convolutional networks effectively capture in..."
R0012,PubMed,2026-01-20,Association of deep learning-derived epicardial fat volume with target organ damage in subjects with nonobstructive coronary artery disease.,Kim MY; Kim HL; Chun EJ; Choi YR; Jin KN,2025,Journal of cardiovascular imaging,10.1186/s44348-025-00062-5,Epicardial fat exerts both protective and deleterious effects on organs through diverse cytokine-mediated pathways. This study aimed to investigate computed tomography (CT)-based indexed epicardial fat volume (EFVi) in association with target organ damage parameters. The prospectively enrolled cohor...
R0013,PubMed,2026-01-20,DiagNeXt: A Two-Stage Attention-Guided ConvNeXt Framework for Kidney Pathology Segmentation and Classification.,Tekin H; Kılıç Ş; Doğan Y,2025,Journal of imaging,10.3390/jimaging11120433,"Accurate segmentation and classification of kidney pathologies from medical images remain a major challenge in computer-aided diagnosis due to complex morphological variations, small lesion sizes, and severe class imbalance. This study introduces DiagNeXt, a novel two-stage deep learning framework d..."
R0014,PubMed,2026-01-20,OpenVocabCT: Towards Universal Text-driven CT Image Segmentation.,Li Y; Lai Y; Thor M; Marshall D; Buchwald Z et al.,2025,IEEE transactions on medical imaging,10.1109/TMI.2025.3646046,"Computed tomography (CT) is extensively used for accurate visualization and segmentation of organs and lesions. While deep learning models such as convolutional neural networks (CNNs) and vision transformers (ViTs) have significantly improved CT image analysis, their performance often declines when ..."
R0015,PubMed,2026-01-20,Comparative analysis of AI-generated and deformed image registration contours on daily CBCT in prostate cancer radiation therapy: accuracy and dosimetric implications using commercial tools.,Ashburner M; Huang R; Chin J; Aly M,2025,Physical and engineering sciences in medicine,10.1007/s13246-025-01686-z,"Deep learning (DL)-based auto-segmentation has rapidly become the state-of-the-art in radiotherapy planning, significantly reducing contouring time while achieving geometric accuracy comparable to expert-derived contours [1-3]. While AI contouring on CTp is now widely established, its application to..."
R0016,PubMed,2026-01-20,Benchmarking robustness of automated CT pancreas segmentation: achieving human-level reliability through human-in-the-loop optimization.,Oviedo F; Lopez-Ramirez F; Tixier F; Kawamoto S; Blanco A et al.,2025,Radiology advances,10.1093/radadv/umaf040,Deep learning-based pancreas segmentation in CT has advanced rapidly yet remains evaluated primarily with mean overlap metrics that fail to capture robustness-defined as the proportion of cases reaching human-level performance. Models performing well on mean Dice or surface metrics can still fail un...
R0017,PubMed,2026-01-20,Deep CNN-based Fully Automated Segmentation of Pelvic Multi-Organ on CT Images for Prostate Cancer Radiotherapy.,Mofid B; Modarres Mosalla SM; Goodarzi M; Tavakoli H,2025,Journal of biomedical physics & engineering,10.31661/jbpe.v0i0.2307-1649,Manual delineation of volumes for prostate radiotherapy treatment is a time-consuming task for radiation oncologists and is also prone to variability. Deep learning-based auto-segmentation methods showed promising results with accurate and high-fidelity contours. The objective of this study was to e...
R0018,PubMed,2026-01-20,Deep learning-based volumetry of the future liver remnants and prediction of candidates for major hepatectomy.,Tuya E; Li H; Li Y; Zhou J; Xu D et al.,2025,BMC medical imaging,10.1186/s12880-025-02106-0,"To develop and validate a deep learning-based future liver remnant (FLR) volumetry system (DL-FLRVS) by secondary utilization of existing preoperative CT images, and to compare the differences between the currently used method and DL-FLRVS in volumetry of FLR and the application in candidate categor..."
R0019,PubMed,2026-01-20,STD-Net: a spatio-temporal decoupling network for multiphasic liver lesion segmentation and characterization.,Zhu S; Zou M; Wu Q; Gong Z; Huang Z et al.,2025,NPJ digital medicine,10.1038/s41746-025-02181-1,"Hepatocellular carcinoma (HCC) remains one of the leading causes of cancer-related mortality, where accurate imaging-based diagnosis plays a central role in guiding treatment. Multiphasic CT and MRI provide dynamic information about lesion enhancement, yet most existing deep learning methods treat d..."
R0020,PubMed,2026-01-20,Automatic detection of urinary stones from non-contrast enhanced computed tomography images.,Lee J; Jang DH; Jeon YJ; Kim YJ; Ahn H et al.,2025,Urolithiasis,10.1007/s00240-025-01902-1,"Urinary stones, one of the most common emergency conditions, traverse the ureter, urine flow is obstructed, resulting in hydronephrosis and severe pain. However, vessel wall calcifications or phleboliths are frequently observed in abdominal and pelvic regions and distinguishing them from urinary sto..."
R0021,PubMed,2026-01-20,Benchmarking of deep learning methods for generic MRI multi-organ abdominal segmentation.,Krishnaswamy D; Ciausu C; Pieper S; Kikinis R; Billot B et al.,2025,"Journal of medical imaging (Bellingham, Wash.)",10.1117/1.JMI.12.6.064503,"Recent advances in deep learning have led to robust automated tools for segmentation of abdominal computed tomography (CT). Meanwhile, segmentation of magnetic resonance imaging (MRI) is substantially more challenging due to the inherent signal variability and the increased effort required for annot..."
R0022,PubMed,2026-01-20,MDA-TransUNet: A Deep Learning-Based Automatic Segmentation Method for Cervical Cancer Brachytherapy.,Cao D; Jin J; Han J; Yang B; Shi T et al.,2025,Technology in cancer research & treatment,10.1177/15330338251397035,"IntroductionAccurate delineation of the high-risk clinical target volume (HR-CTV) and organs at risk (OARs) is critical for cervical cancer brachytherapy. However, treatment planning is time-consuming, and prolonged waiting can lead to organ displacement and patient discomfort. Additionally, the ste..."
