paper_id,title,authors,year,venue,architecture,organs_segmented,multi_organ,best_dice,datasets
10.1002_mp.12480,Deep learning of the sectional appearances of 3D CT images for anatomical structure segmentation based on an FCN voting method,Zhou et al.,2017.0,Medical Physics,FCN (VGG16-based) + multi-view voting,"['Right lung', 'Left lung', 'Heart', 'Aorta', 'Esophagus', 'Liver', 'Gallbladder', 'Stomach and duodenum (2nd position/region)', 'Stomach and duodenum lumen', 'Contents inside stomach and duodenum', 'Spleen', 'Right kidney', 'Left kidney', 'Inferior vena cava', 'Portal vein / splenic vein / superior mesenteric vein region', 'Pancreas', 'Bladder', 'Prostate', 'Uterus']",True,,['Computational Anatomy project shared dataset (Tokushima University Hospital)']
10.1002_mp.13300,AnatomyNet: Deep learning for fast and fully automated whole-volume segmentation of head and neck anatomy,Zhu et al.,2019.0,Medical Physics,3D U-Net,"['brain stem', 'optic chiasm', 'mandible', 'optic nerve (left)', 'optic nerve (right)', 'parotid gland (left)', 'parotid gland (right)', 'submandibular gland (left)', 'submandibular gland (right)']",True,0.7925,"['MICCAI Head and Neck Auto Segmentation Challenge 2015 (train set)', 'TCIA Head-Neck Cetuximab collection', 'TCIA Quebec institutions head & neck RT dataset (4 institutions)', 'MICCAI Head and Neck Auto Segmentation Challenge 2015 (test set)']"
10.1002_mp.13438,U-Net based deep learning bladder segmentation in CT urography,Ma et al.,2019.0,Medical Physics,U-Net,['bladder'],False,,"['University of Michigan CT urography (CTU) dataset (institutional, 173 patients)']"
10.1002_mp.13950,Automatic multi-organ segmentation in dual-energy CT (DECT) with dedicated 3D fully convolutional DECT networks,Chen et al.,2020.0,Medical Physics,3D U-Net / 3D FCN (U-Net-based),"['right lung', 'left lung', 'liver', 'spleen', 'right kidney', 'left kidney']",True,0.98,['45 clinical thorax/abdomen dual-energy CT (DECT) datasets acquired on Siemens SOMATOM Definition Force (dual-source)']
10.1002_mp.14386,CT-based multi-organ segmentation using a 3D self-attention U-net network for pancreatic radiotherapy,Yingzi Liu et al.,2020.0,Medical Physics,3D Attention U-Net,"['large bowel', 'small bowel', 'duodenum', 'left kidney', 'right kidney', 'liver', 'spinal cord', 'stomach']",True,0.96,['Institutional pancreatic radiotherapy CT simulation dataset (Emory University)']
10.1002_mp.14422,Complete Abdomen and Pelvis Segmentation using U-Net Variant Architecture,Weston et al.,,Medical Physics,3D U-Net (variant),"['liver', 'kidneys (left/right)', 'spleen', 'pancreas', 'adrenal glands (left/right)', 'renal arteries (left/right)', 'renal veins (left/right)', 'aorta', 'inferior vena cava', 'bladder', 'uterus', 'prostate', 'stomach', 'small bowel', 'large bowel/colon', 'gallbladder', 'diaphragm', 'spinal column', 'intervertebral discs (T12-S1, multiple labels)', 'bone', 'muscle', 'subcutaneous adipose tissue', 'visceral adipose tissue', 'other soft tissue/connective tissue & small vessels/ureters (lumped label)']",True,0.948,['Internal Mayo Clinic RCC abdomen/pelvis CT dataset (manually annotated 33 labels)']
10.1002_mp.15507,"General and custom deep learning autosegmentation models for organs in head and neck, abdomen, and male pelvis",Amjad et al.,2022.0,Medical Physics,3D U-Net (ResUnet3D),"['Male pelvis: bladder, prostate, rectum, seminal vesicles, penile bulb, sigmoid, femur L/R, pelvis bone L/R, patient external', 'Head & neck: brain, brainstem, mandible, esophagus, eyes L/R, inner ears L/R, larynx, lenses L/R, optic nerves L/R, parotids L/R, submandibular glands L/R, spinal cord, patient external', 'Abdomen: aorta, large bowel, small bowel, duodenum, kidneys L/R, liver, pancreas, spinal cord, spleen, stomach, patient external']",True,0.98,"['MICCAI 2015 (HN subset, 41 cases)', 'Multi-institutional general datasets (MP, HN)', 'Single-institution custom datasets (MP, HN, ABD)']"
10.1007_978-3-030-00937-3_49,3D U-JAPA-Net: Mixture of Convolutional Networks for Abdominal Multi-organ CT Segmentation,Kakeya et al.,2018.0,"MICCAI 2018 (LNCS 11073, Springer)",3D U-Net (mixture of experts),"['liver', 'spleen', 'right kidney', 'left kidney', 'pancreas', 'gallbladder', 'aorta', 'inferior vena cava']",True,0.984,"['In-house abdominal CT dataset (late arterial phase, normal organs)']"
10.1007_s00330-020-07608-9,Automated segmentation of kidney and renal mass and automated detection of renal mass in CT urography using 3D U-Net-based deep convolutional neural network,Lin et al.,2021.0,European Radiology,3D U-Net,['kidney'],False,0.974,"['Single-institution CT urography (corticomedullary phase) dataset (441 patients)', 'Additional small renal tumor test set (35 patients)']"
10.1016_j.compmedimag.2018.03.001,An application of cascaded 3D fully convolutional networks for medical image segmentation,Roth et al.,2018.0,Computerized Medical Imaging and Graphics,3D U-Net (3D FCN) cascade,"['liver', 'spleen', 'pancreas', 'stomach', 'gallbladder', 'artery', 'vein', 'lungs (transfer learning experiment)', 'kidneys (transfer learning experiment)']",True,0.954,"['In-house Nagoya University Hospital abdominal CT (331 cases; 281 train/50 val; 7 labels)', 'Unseen external hospital test set (150 cases; liver/spleen/pancreas)', '240-case 18-class abdominal CT dataset used for direct comparison to 2D FCN voting method (Zhou et al.)', 'TCIA Pancreas-CT (82 cases; 4-fold CV)', 'Visceral Challenge dataset (20 cases; 20 labels) for fine-tuning', 'Unseen whole torso test set (10 cases; 8 labels) for transfer learning evaluation']"
