paper_id,title,abstract_snippet,pdf_status,included_in_review,exclusion_reason,exclusion_stage
10.2478/acss-2020-0005,Applying 3D U-Net Architecture to the Task of Multi-Organ Segmentation in Computed Tomography,Abstract The achievement of high-precision segmentation in medical image analysis has been an active direction of research over the past decade. Significant success in medical imaging tasks has been f,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.31661/jbpe.v0i0.2307-1649,Deep CNN-based Fully Automated Segmentation of Pelvic Multi-Organ on CT Images for Prostate Cancer Radiotherapy.,Manual delineation of volumes for prostate radiotherapy treatment is a time-consuming task for radiation oncologists and is also prone to variability. Deep learning-based auto-segmentation methods sho,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1088/1361-6560/ac95f7,Male pelvic multi-organ segmentation using token-based transformer Vnet,Objective. This work aims to develop an automated segmentation method for the prostate and its surrounding organs-at-risk in pelvic computed tomography to facilitate prostate radiation treatment plann,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1038/s41598-024-55137-y,Fully-automated multi-organ segmentation tool applicable to both non-contrast and post-contrast abdominal CT: deep learning algorithm developed using dual-energy CT images.,"A novel 3D nnU-Net-based of algorithm was developed for fully-automated multi-organ segmentation in abdominal CT, applicable to both non-contrast and post-contrast images. The algorithm was trained us",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1109/TMI.2023.3262680,Efficient Multi-Organ Segmentation From 3D Abdominal CT Images With Lightweight Network and Knowledge Distillation.,"Accurate segmentation of multiple abdominal organs from Computed Tomography (CT) images plays an important role in computer-aided diagnosis, treatment planning and follow-up. Currently, 3D Convolution",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.16330,The role of anatomical context in soft-tissue multi-organ segmentation of cadaveric non-contrast-enhanced whole body CT.,"Cadaveric computed tomography (CT) image segmentation is a difficult task to solve, especially when applied to whole-body image volumes. Traditional algorithms require preprocessing using registration",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.16135,Abdomen CT Multi-organ Segmentation Using Token-based MLP-Mixer.,"BACKGROUND
Manual contouring is very labor-intensive, time-consuming, and subject to intra- and inter-observer variability. An automated deep learning approach to fast and accurate contouring and segm",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2548470,Multi-organ segmentation in pelvic CT images with CT-based synthetic MRI,"We propose a hybrid deep learning-based method, which includes a cycle consistent generative adversarial network (CycleGAN) and deep attention fully convolution network implemented by a U-Net (DAUnet)",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2551315,Renal parenchyma segmentation in abdominal CT images based on deep convolutional neural networks with similar atlas selection and transformation,Segmentation of the renal parenchyma which consists of renal cortex and medulla responsible for the renal function is necessary to evaluate contralateral renal hypertrophy and to predict renal functio,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s00261-025-05041-4,Enhanced abdominal multi-organ segmentation with 3D UNet and UNet +  + deep neural networks utilizing the MONAI framework.,"Accurate segmentation of organs in the abdomen is a primary requirement for any medical analysis and treatment planning. In this study, we propose an approach based on 3D UNet and UNet +  + architectu",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s13246-025-01614-1,A full-scale attention-augmented CNN-transformer model for segmentation of oropharyngeal mucosa organs-at-risk in radiotherapy.,"Radiation-induced oropharyngeal mucositis (ROM) is a common and severe side effect of radiotherapy in nasopharyngeal cancer patients, leading to significant clinical complications such as malnutrition",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s00261-024-04581-5,Automated abdominal organ segmentation algorithms for non-enhanced CT for volumetry and 3D radiomics analysis.,To develop fully-automated abdominal organ segmentation algorithms from non-enhanced abdominal CT and low-dose chest CT and assess their feasibility for automated CT volumetry and 3D radiomics analysi,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1177/08953996251355806,A multi-stage training and deep supervision based segmentation approach for 3D abdominal multi-organ segmentation.,"Accurate X-ray Computed tomography (CT) image segmentation of the abdominal organs is fundamental for diagnosing abdominal diseases, planning cancer treatment, and formulating radiotherapy strategies.",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2628064,Male pelvic multi-organ segmentation using V-transformer network,"Automatic multi-organ segmentation is a cost-effective tool for generating organ contours using computed tomography (CT) images. This work proposes a deep-learning algorithm for multi-organ (bladder, ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.17782,Trade-off of different deep learning-based auto-segmentation approaches for treatment planning of pediatric craniospinal irradiation autocontouring of OARs for pediatric CSI.,"As auto-segmentation tools become integral to radiotherapy, more commercial products emerge. However, they may not always suit our needs. One notable example is the use of adult-trained commercial sof",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1007/s10278-024-01273-w,Children Are Not Small Adults: Addressing Limited Generalizability of an Adult Deep Learning CT Organ Segmentation Model to the Pediatric Population.,"Deep learning (DL) tools developed on adult data sets may not generalize well to pediatric patients, posing potential safety risks. We evaluated the performance of TotalSegmentator, a state-of-the-art",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2653387,Cascaded neural network segmentation pipeline for automated delineation of prostate and organs at risk in male pelvic CT.,"Delineation of the prostate and nearby organs at risk (OARs) is a fundamental step in prostate cancer radiation therapy planning. Such contouring is often done manually, which can be a time-consuming ",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.24926/548719.033,3D Cascaded U-Net with a Squeeze-and-Exicitation Block for Semantic Segmentation on Kidney and Renal Cell Carcinoma in Abdonimal Volumetric CT,". Segmentation is a fundamental process in medical image analysis. Recently, convolutional neural networks (CNNs) has allowed for automatic segmentation; however, segmentaiton of complex organs and di",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1016/j.radi.2024.02.001,Multi-organ segmentation of organ-at-risk (OAR's) of head and neck site using ensemble learning technique.,This paper presents a novel approach to automate the segmentation of Organ-at-Risk (OAR) in Head and Neck cancer patients using Deep Learning models combined with Ensemble Learning techniques. The stu,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1002/mp.70251,Patient and fraction specific model adaptation for cone beam computed tomography (CBCT) multi-organ segmentation.,Cone-beam computed tomography (CBCT) has gained considerable traction in medical imaging due to its ability to provide on-board three-dimensional (3D) volumetric imaging with relatively low radiation ,not_available,False,Full-text not publicly available,S3_fulltext_retrieval
10.1117/12.2551287,Automatic liver segmentation in abdominal CT images using combined 2.5D and 3D segmentation networks with high-score shape prior for radiotherapy treatment planning,"Liver segmentation is a prerequisite for measuring hepatic volume in liver transplantation, modeling of the liver anatomy in hepatic surgery planning, and contouring in radiotherapy treatment planning",not_available,False,Full-text not publicly available,S3_fulltext_retrieval
