paper_id,screening_decision,exclusion_reason,screening_notes
10.1002_mp.15083,EXCLUDE,CT modality not primary: the segmentation is performed on CBCT (cone-beam CT) with CBCT-to-CT translation; the study is not primarily about organ segmentation from standard diagnostic CT volumes.,"Although it uses a novel 3D deep learning cGAN (pix2pix-inspired) with 3D convolutions and reports quantitative segmentation metrics (Dice/MSD/HD95) for OARs (lungs, heart, spinal cord, esophagus), the primary imaging modality is CBCT in a radiotherapy setting rather than conventional CT scans as the main input for segmentation, which does not meet the review's CT-modality inclusion criterion."
10.1002_mp.15525,EXCLUDE,Application Only: evaluates a commercial 3D U-Net auto-contouring model in a clinical workflow without presenting a novel segmentation method/architecture or significant methodological contribution.,"Uses deep learning (commercial optimized 3D U-Net) on 3D CT volumes to segment prostate and multiple OARs with quantitative metrics (DSC, HD95, MSD, etc.). However, the paper’s primary contribution is clinical acceptability/dosimetric evaluation of an existing commercial model; segmentation method details are referenced to prior work and no new architecture/loss/training method is introduced."
10.1007_978-3-030-00934-2_94,EXCLUDE,Tumor/lesion-only segmentation: CT experiment focuses on liver + liver tumor (lesion) segmentation rather than organ-only segmentation; primary reported novelty/evaluation is for lesion segmentation on LiTS.,"Proposes a novel deep learning 3D anisotropic hybrid CNN (AH-Net) with 3D processing and quantitative Dice metrics on CT (LiTS). However, the CT segmentation task explicitly includes liver tumor/lesion segmentation (liver + lesion labels), which triggers the exclusion criterion for tumor/lesion-only focus in this review."
10.1007_978-3-319-67558-9_26,EXCLUDE,"Non-DL Primary: deep learning (3D U-Net/FCN) is used mainly for feature extraction/localization cues, while the primary segmentation method is atlas-based + graph-cut with regression forests.","Although it uses 3D U-Net features from CT volumes and reports Dice/Jaccard for pancreas segmentation, the final segmentation pipeline is primarily regression forest localization followed by patient-specific probabilistic atlas segmentation and graph-cut refinement, not a deep-learning-based segmentation method as the primary approach."
10.1109_TRPMS.2021.3059780,EXCLUDE,2D Only: The proposed DefED-Net is explicitly designed in the 2D domain and trained/applied on axial slices; it does not process 3D CT volumes with 3D convolutions or true volumetric context.,"Although it is a novel deep-learning method for CT liver (organ) and tumor segmentation with quantitative evaluation (Dice, VOE, RVD, ASD, RMSD) on LiTS and 3DIRCADb, the paper states the network is designed in 2D and uses slice-based training; 3D is only used for evaluation aggregation, not volumetric modeling."
10.1109_WACV.2019.00020,EXCLUDE,2D Only: The method trains 2D FCN models slice-by-slice on axial/coronal/sagittal planes and fuses outputs; it does not use a 3D deep network processing volumetric context (no 3D convolutions).,"Although it targets abdominal CT multi-organ segmentation with deep learning and reports Dice scores, the core segmentation networks are 2D (trained per-plane slice-wise) with multi-planar fusion, which does not meet the review's requirement of processing 3D CT volumes with 3D/volumetric deep learning."
10.11409_mit.36.63,EXCLUDE,Review/tutorial-style article; does not present a clearly novel segmentation method/architecture contribution (primarily describes how to build/apply 3D FCN/3D U-Net and reports example results).,"Uses deep learning (3D FCN/3D U-Net-like), processes 3D CT volumes, performs multi-organ segmentation with Dice metrics on 377 CT scans. However, the paper is a didactic overview ('Introduction to deep learning use') and the described network is 'similar to 3D U-Net' as an example implementation rather than a novel methodological contribution."
10.2214_AJR.20.24415,EXCLUDE,"No quantitative segmentation evaluation metrics (e.g., Dice/IoU/Hausdorff) are reported; evaluation focuses on steatosis classification (ROC-AUC, sensitivity/specificity) rather than segmentation performance. Also, the paper primarily applies a previously described segmentation tool rather than presenting a novel segmentation method.","Uses a modified 3D U-Net for volumetric liver/spleen segmentation on CT, but the study evaluates downstream liver fat/steatosis categorization (AUC, sensitivity/specificity) and does not report segmentation accuracy metrics; segmentation method is referenced as previously described."
10.3390_app10031154,EXCLUDE,CT modality not primary: the study focuses on cone-beam CT (CBCT) rather than conventional diagnostic CT volumes as the primary segmentation target.,"Uses a 3D U-Net with 3D volumetric processing and reports quantitative metrics (DSC/JI/SMBD) for pelvic organ segmentation (bladder/rectum/prostate). However, the primary modality and task are CBCT organ segmentation (CT is used mainly for cross-domain augmentation), which does not meet the review's CT-modality inclusion criterion."
http___arxiv.org_abs_2212.13034v1,EXCLUDE,Tumor/lesion-focused segmentation (kidney tumour) rather than organ-only segmentation per review scope.,"Uses a 3D U-Net CNN on 3D contrast-enhanced CT volumes (KiTS21) with quantitative Dice evaluation and some methodological analysis (down-sampling vs patch-wise). However, the primary task includes kidney tumour segmentation, which triggers the exclusion criterion for tumor/lesion-only focus."
http___arxiv.org_abs_2503.10717v1,EXCLUDE,"No quantitative organ segmentation metrics (e.g., Dice/IoU/Hausdorff) are reported; only precision/recall/AUC and MSE for measurement are provided, so segmentation evaluation is insufficient for inclusion.","Uses deep learning (nnU-Net, U-Net++, Nested U-Net; plus 3D RCNN) on CT and targets abdominal organs, with some 3D details (3D patches, volumetric processing). However, the reported results table provides precision/recall/AUC and MSE for measurement, without standard segmentation overlap/boundary metrics (Dice/IoU/HD) required by the review criteria."
