record_id,title,source_db,run1_decision,run1_confidence,run2_decision,run2_confidence,run3_decision,run3_confidence,consensus_decision,consensus_type,ic1,ic2,ic3,ic4,ic5,ic6,exclusion_codes,flagged_for_review,human_override,final_decision,reasoning_summary
1,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Self-configuring DL segmentation framework with multi-organ CT results
2,TotalSegmentator: Robust Segmentation of 104 Anatomic Structures in CT Images,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,104-structure CT segmentation with comprehensive benchmarking
3,U-Net: Convolutional Networks for Biomedical Image Segmentation,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Foundational encoder-decoder architecture for biomedical segmentation
4,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,3D extension of U-Net for volumetric segmentation
5,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Introduced Dice loss for 3D segmentation
6,UNETR: Transformers for 3D Medical Image Segmentation,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Pure transformer encoder for 3D medical segmentation
7,Swin UNETR: Swin Transformers for Semantic Segmentation of Brain Tumors,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Swin transformer applied to medical imaging
8,Segment Anything in Medical Images,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Foundation model adaptation for medical segmentation
9,TransUNet: Rethinking the U-Net architecture design,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Hybrid CNN-Transformer architecture
10,CoTr: Efficiently Bridging CNN and Transformer,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Deformable transformer for 3D segmentation
11,UNet++: A Nested U-Net Architecture,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Dense nested skip pathways
12,Attention U-Net: Learning Where to Look for the Pancreas,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Attention gates for medical imaging
13,UNet 3+: A Full-Scale Connected UNet,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Full-scale skip connections
14,DeepMedic: Efficient multi-scale 3D CNN with CRF,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Multi-scale 3D CNN for brain lesions
15,Dense V-Networks for Multi-Organ Segmentation,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Dense feature stacking for abdominal CT
16,MedNeXt: Transformer-driven Scaling of ConvNets,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,ConvNeXt adaptation for medical imaging
17,The Medical Segmentation Decathlon,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Multi-task benchmark with CT datasets
18,KiTS19: Kidney tumor segmentation challenge,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Kidney CT benchmark
19,The Liver Tumor Segmentation Benchmark (LiTS),PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Liver CT benchmark
20,A survey on deep learning in medical image analysis,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Comprehensive DL review covering CT segmentation
21,Embracing imperfect datasets: A review,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Review of solutions for imperfect medical data
22,Transformers in medical imaging: A survey,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Transformer survey including CT segmentation
23,Reducing the Hausdorff Distance in Medical Image Segmentation,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Hausdorff distance loss function
24,clDice - a Novel Topology-Preserving Loss Function,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Centerline Dice for tubular structures
25,AbdomenCT-1K: Is Abdominal Organ Segmentation Solved?,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Large-scale abdominal CT benchmark
26,CLIP-Driven Universal Model for Organ Segmentation,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Vision-language model for CT segmentation
27,Deep Residual Learning for Image Recognition,IEEE,INCLUDE,high,INCLUDE,medium,INCLUDE,high,INCLUDE,majority,true,true,false,true,false,true,,true,,INCLUDE,Foundational architecture used in medical imaging
28,Densely Connected Convolutional Networks,IEEE,INCLUDE,high,INCLUDE,medium,INCLUDE,high,INCLUDE,majority,true,true,false,true,false,true,,true,,INCLUDE,Dense connections foundational for DenseVNet
29,Swin Transformer: Hierarchical Vision Transformer,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Foundation for Swin UNETR
30,A ConvNet for the 2020s,IEEE,INCLUDE,high,INCLUDE,medium,INCLUDE,high,INCLUDE,majority,true,true,false,true,false,true,,true,,INCLUDE,ConvNeXt foundation for MedNeXt
31,Focal Loss for Dense Object Detection,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Class imbalance handling applicable to segmentation
32,The multimodal brain tumor segmentation benchmark,IEEE,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,BraTS benchmark (includes CT-like protocols)
33,TransUNet: Transformers Make Strong Encoders,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Original TransUNet preprint
34,nnFormer: Interleaved Transformer for Volumetric Segmentation,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Interleaved attention for 3D medical imaging
35,STU-Net: Scalable and Transferable Medical Image Segmentation,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Large-scale pre-trained CT segmentation
36,Segment Anything,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,false,true,,false,,INCLUDE,Foundation model extended to medical
37,SAM-Med3D: Towards General-purpose Segmentation,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,3D SAM for medical imaging
38,MONAI: An open-source framework for deep learning,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Medical AI framework with CT support
39,A Review on Deep Learning for Semantic Segmentation,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Comprehensive segmentation review
40,AMOS: A Large-Scale Abdominal Multi-Organ Benchmark,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,15-organ CT/MRI benchmark
41,FLARE 2022: Fast and Low-resource Abdominal Organ Segmentation,arXiv,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Efficiency-focused CT challenge
42,NNDA-UNETR: Dual Attention UNet Transformer,Scopus,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Dual attention mechanism for CT
43,Deep Learning Techniques for Medical Image Segmentation,Scopus,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Methods review including CT
44,FreeSurfer,PubMed,INCLUDE,medium,EXCLUDE,medium,INCLUDE,medium,INCLUDE,majority,true,true,true,false,false,true,,true,,INCLUDE,Classical software still used as baseline
45,Deep Learning for Cardiac Image Segmentation: A Review,Scopus,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Cardiac CT/MRI segmentation review
46,PRISMA 2020 statement,PubMed,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,false,false,false,false,false,,false,,INCLUDE,Methodology guideline for systematic reviews
47,Generalised Dice Overlap as Deep Learning Loss,Scopus,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Dice loss generalization
48,Tversky Loss Function for Image Segmentation,Scopus,INCLUDE,high,INCLUDE,high,INCLUDE,high,INCLUDE,unanimous,true,true,true,true,true,true,,false,,INCLUDE,Tversky index for segmentation
